EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
KTEG79301,02,1979,2.0,HJ,"Carrington, Rab","British Kang Taiga Expedition, 1979",,,,37:150-152 (1979-80),,
BARU80101,01,1980,2.0,HJ,"Diaz, J. J.",Baruntse (7220m),,,,37:152-153 (1979-80),,
KANG80101,01,1980,2.0,HJ,"Sakashita, Naoe",Japanese on Kangchenjunga,,,,37:153-155 (1979-80),,
KANG80102,01,1980,2.0,HJ,"Herrligkoffer, Karl M.","Kanghenjunga Expedition, 1980",,,,37:155-157 (1979-80),,
FANG79301,02,1979,2.0,HJ,"Bergamaschi, A.",Annapurna Fang (7650m),,,,37:157-161 (1979-80),,
ANN380101,01,1980,2.0,HJ,"Deacock, Warwick",Australian Expedition to Annapurna III,,,,37:161-162 (1979-80),,
ANN279301,02,1979,2.0,HJ,"Moores, Paul",Annapurna II,,,,37:162-163 (1979-80),,
ANNS79101,02,1979,2.0,HJ,"Kolankowski, Dr. Jerzy",Annapurna South Peak From West,,,,37:163-166 (1979-80),,
NILC79301,02,1979,2.0,HJ,"Nishimura, Tsutomu","Nilgiri Expedition, 1979",,,,37:166-168 (1979-80),,
GAN379301,02,1979,2.0,HJ,"Ogura, Hideo",First Ascent of Ganesh II,,,,37:168-171 (1979-80),,
DHA179301,02,1979,2.0,HJ,"Malaczynski, Gerard",Dhaulagiri I,,,,37:171-173 (1979-80),,
EVER69101,03,1969,2.0,JAC,"Ohtsuka, Hiromi","The Japanese Mount Everest Expedition, 1969-1970",,,English,66:1-13 (1971),,
EVER69301,04,1969,2.0,JAC,"Ohtsuka, Hiromi","The Japanese Mount Everest Expedition, 1969-1970",,,English,66:1-13 (1971),,Route maps and photos in English included in Japanese section
EVER70102,03,1970,2.0,JAC,"Ohtsuka, Hiromi","The Japanese Mount Everest Expedition, 1969-1970",,,English,66:1-13 (1971),,Route maps and photos in English included in Japanese section
MAKA70101,03,1970,2.0,JAC,"Hara, Makoto & Asami, Masao","Makalu, 1970",,,English,66:13-18 (1971),,Route maps and photos in English included in Japanese section
DHA170301,02,1970,2.0,JAC,"Kawada, Tetsuji",Dhaulagiri (Autumn of 1970),,,English,66:18-21 (1971),,Route maps and photos in English included in Japanese section
PK2970301,03,1970,2.0,JAC,"Sumiyoshi, Senya","P-29, 1970",,,English,66:21-24 (1971),,Route maps and photos in English included in Japanese section
CHUR70301,04,1970,2.0,JAC,"Yamamoto, Ryozo",The First Ascent of Main Peak of Churen Himal in 1970,,,English,66:24-27 (1971),,Route maps and photos in English included in Japanese section
DHA670101,03,1970,2.0,JAC,"Nomura, Tetsuya","The First Ascent of Dhaulagiri VI, 1970",,,English,66:27-29 (1971),,Route maps and photos in English included in Japanese section
ANN370101,03,1970,2.0,JAC,"Manita, Michiko","Annapurna III, 1970",,,English,66:30-32 (1971),,Route maps and photos in English included in Japanese section
KJRS70301,02,1970,2.0,JAC,"Okuda, Hiroshi","Kanjiroba Himal, 1970 - The First Ascent of the Main Peak",,,English,66:32-34 (1971),,Route maps and photos in English included in Japanese section
MANA71101,03,1971,2.0,JAC,"Takahashi, Akira","Manaslu - West Wall, 1971",,,English,67:4-10 (1972),,Route maps and photos in English included in Japanese section
BAUD71101,02,1971,2.0,JAC,"Hanai, Toshihiko","The Ascent of Baudha Peak, 1971",,,English,67:19-21 (1972),,Route maps and photos in English included in Japanese section
YALU73101,02,1973,2.0,JAC,"Higushi, Haruo","The First Ascent of Yalung Kang, 1973",,,English,68:1-8 (1973),,Route maps and photos in English included in Japanese section
NAMP72101,02,1972,2.0,JAC,"Matsushima, Seigo","The First Ascent of Nampa, 1972",,,English,68:8-11 (1973),,Route maps and photos in English included in Japanese section
GANG71301,02,1971,2.0,JAC,"Shimizu, Kiyoshi","Gangapurna, Autumn 1971",,,English,68:11-16 (1973),,Route maps and photos in English included in Japanese section
MANA74101,03,1974,2.0,JAC,"Kuroishi, Tsune","Manaslu, Premonsoon 1974",,,English,69:6-10 (1974),,Route maps and photos in Japanese section
